depot_id,customers,vehicles,exact_dist_km,hq_dist_km,annealed_turing_dist_km,fast_turing_dist_km,ga_dist_km,qpso_dist_km,exact_time_s,hq_time_s,annealed_turing_time_s,fast_turing_time_s,ga_time_s,qpso_time_s,violations
16,13,1,5.68,5.68,5.77,5.78,7.42,6.88,1.0019736289978027,0.14469313621520996,0.013671159744262695,0.031084775924682617,0.01570296287536621,0.02751302719116211,0
17,12,1,6.05,6.05,6.05,6.11,7.74,7.65,1.0037906169891357,0.1977827548980713,0.02599334716796875,0.015338897705078125,0.016630887985229492,0.033857107162475586,0
19,6,1,3.22,3.22,3.22,3.22,3.87,3.22,1.015080451965332,0.04024338722229004,0.0021190643310546875,0.0,0.007104158401489258,0.011524200439453125,0
20,8,1,2.85,2.85,2.85,3.13,3.65,3.6,1.0001769065856934,0.06418991088867188,0.013223886489868164,0.012001514434814453,0.01640629768371582,0.0166168212890625,0
21,24,2,12.64,12.64,13.27,16.29,15.36,13.54,1.000117540359497,0.3152272701263428,0.30179381370544434,0.06612420082092285,0.022081375122070312,0.06099343299865723,0
22,6,1,2.59,2.59,2.59,2.66,2.66,2.66,1.002887487411499,0.04973602294921875,0.0,0.0165863037109375,0.007024049758911133,0.010848522186279297,0
24,2,1,19.1,19.1,19.1,19.1,19.1,19.1,1.002397060394287,0.002995729446411133,0.0010027885437011719,0.004994869232177734,0.0,0.03299832344055176,0
25,7,1,5.03,5.03,5.03,5.05,5.65,5.03,1.0025031566619873,0.06562519073486328,0.013557195663452148,0.016612529754638672,0.004014253616333008,0.014230489730834961,0
26,7,1,6.72,6.72,6.72,6.79,6.79,6.79,0.9990968704223633,0.038033246994018555,0.007379293441772461,0.003995180130004883,0.0168304443359375,0.0166475772857666,0
27,17,2,9.21,9.21,9.26,9.36,10.46,9.59,0.991443395614624,0.3051929473876953,0.314741849899292,0.02291083335876465,0.02758646011352539,0.027836084365844727,0
28,20,2,20.0,20.0,20.32,23.32,24.16,22.37,0.9996583461761475,0.3031926155090332,0.312161922454834,0.02961421012878418,0.014874935150146484,0.051836252212524414,0
29,4,1,3.6,3.6,3.6,3.6,3.73,3.6,0.994295597076416,0.015259265899658203,0.0040187835693359375,0.003995180130004883,0.016463279724121094,0.016471147537231445,0
30,8,1,5.12,5.24,5.24,5.24,5.12,5.24,0.9984464645385742,0.07456111907958984,0.013023138046264648,0.0015301704406738281,0.0,0.007074832916259766,0
31,15,2,21.74,23.81,23.81,26.8,30.61,27.81,1.0014796257019043,0.32957935333251953,0.035120248794555664,0.022970914840698242,0.002528667449951172,0.023730754852294922,0
33,7,1,3.02,3.02,3.02,3.02,3.03,3.03,1.0094232559204102,0.05044698715209961,0.0011000633239746094,0.015216588973999023,0.004019260406494141,0.011447906494140625,0
34,12,1,4.81,4.81,4.81,4.81,4.91,4.81,1.0157198905944824,0.20419025421142578,0.015247344970703125,0.030843257904052734,0.023155927658081055,0.0,0
35,23,2,9.5,9.5,10.18,10.41,11.87,11.14,1.0027024745941162,0.3095567226409912,0.30115437507629395,0.08280825614929199,0.03245949745178223,0.044576168060302734,0
36,1,1,0.69,0.69,0.69,0.69,0.69,0.69,0.0,0.0,0.0,0.003000497817993164,0.0,0.0010006427764892578,0
37,7,1,11.8,11.8,11.8,15.64,11.8,15.64,1.0016653537750244,0.05559945106506348,0.003994941711425781,0.005248546600341797,0.0,0.006136178970336914,0
38,6,1,9.43,9.43,9.43,9.43,17.31,9.43,0.9963381290435791,0.026827096939086914,0.0,0.004132747650146484,0.016864776611328125,0.016264915466308594,0
40,2,1,2.09,2.09,2.09,4.18,2.09,2.09,0.9985270500183105,0.0,0.007085084915161133,0.0013544559478759766,0.0,0.013713359832763672,0
41,14,1,5.0,5.1,5.1,5.1,5.41,5.2,1.0098450183868408,0.22507214546203613,0.03510713577270508,0.02484130859375,0.0,0.028723955154418945,0
42,8,1,2.53,2.53,2.53,2.53,2.62,2.62,0.9948811531066895,0.07375454902648926,0.011548757553100586,0.011936426162719727,0.014660358428955078,0.0308382511138916,0
43,10,1,5.36,5.58,5.36,6.4,6.53,7.49,1.0086617469787598,0.04396653175354004,0.001955747604370117,0.016242504119873047,0.007819652557373047,0.012547969818115234,0
44,10,1,6.76,6.76,6.76,6.76,7.54,6.76,1.0034239292144775,0.0880424976348877,0.001997709274291992,0.017468690872192383,0.017479419708251953,0.0,0
46,7,1,2.51,2.51,2.51,2.53,2.54,2.54,0.9986927509307861,0.03637838363647461,0.0,0.009407758712768555,0.013467550277709961,0.0,0
47,12,1,6.21,6.21,7.68,7.31,8.09,10.46,1.0008525848388672,0.02673482894897461,0.0,0.013412952423095703,0.0018124580383300781,0.016013622283935547,0
48,18,2,6.25,6.25,6.25,6.27,6.57,8.34,0.9917118549346924,0.30136871337890625,0.31740236282348633,0.042345285415649414,0.031221628189086914,0.06782126426696777,0
49,10,1,3.84,3.84,3.84,3.88,4.04,3.85,0.9914906024932861,0.13274192810058594,0.04105949401855469,0.018522977828979492,0.012999296188354492,0.03387880325317383,0
50,4,1,3.28,3.28,3.28,3.28,3.32,3.28,1.001755952835083,0.01239919662475586,0.004003763198852539,0.009047508239746094,0.008959054946899414,0.018491506576538086,0
51,18,2,7.1,7.31,7.17,8.34,8.18,9.53,1.0028936862945557,0.30330467224121094,0.16170310974121094,0.057531118392944336,0.026366710662841797,0.03299736976623535,0
52,10,1,3.54,3.54,3.54,3.6,4.13,4.13,1.0018227100372314,0.12067794799804688,0.010474920272827148,0.016999244689941406,0.017255544662475586,0.03471255302429199,0
53,8,1,1.8,1.8,1.8,1.81,1.84,1.83,1.0006506443023682,0.08562493324279785,0.00500178337097168,0.009563446044921875,0.009001970291137695,0.02875828742980957,0
54,16,2,5.8,5.8,5.8,8.25,6.71,8.25,1.0018494129180908,0.31459784507751465,0.22658228874206543,0.039798736572265625,0.022266864776611328,0.031187057495117188,0
55,19,2,8.5,9.32,9.32,12.1,9.77,8.93,1.0013368129730225,0.357649564743042,0.30896711349487305,0.052124738693237305,0.04006457328796387,0.05485415458679199,0
56,7,1,2.34,2.34,2.34,2.42,2.42,2.42,1.0017423629760742,0.053939104080200195,0.005791664123535156,0.013001203536987305,0.014091253280639648,0.02635359764099121,0
57,20,2,11.13,11.13,11.13,13.09,13.77,11.7,1.0036506652832031,0.30209851264953613,0.30219268798828125,0.05825400352478027,0.03029608726501465,0.032970428466796875,0
58,11,1,4.57,4.57,4.57,4.57,5.07,6.57,1.0024337768554688,0.07931280136108398,0.00799560546875,0.0070056915283203125,0.016307592391967773,0.04350471496582031,0
59,7,1,11.4,11.4,11.4,11.43,11.62,11.62,0.9997673034667969,0.04888796806335449,0.01678323745727539,0.0,0.01663494110107422,0.016918420791625977,0
60,4,1,11.89,11.89,11.89,11.89,11.94,11.89,1.0024957656860352,0.01662921905517578,0.0,0.016369342803955078,0.011531591415405273,0.019240617752075195,0
61,20,2,11.18,11.18,11.74,12.59,12.35,12.65,0.999732255935669,0.31592726707458496,0.3008902072906494,0.06591916084289551,0.03414273262023926,0.04981684684753418,0
62,1,1,0.63,0.63,0.63,0.63,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0
63,13,1,9.61,9.62,10.18,12.52,9.83,14.33,1.0006370544433594,0.09894585609436035,0.007114410400390625,0.021397829055786133,0.016582727432250977,0.033342599868774414,0
