depot_id,customers,vehicles,turing_dist_km,hq_dist_km,exact_dist_km,qpso_dist_km,ga_dist_km,turing_time_s,hq_time_s,exact_time_s,qpso_time_s,ga_time_s,violations
40,10,1,14.39,14.36,14.36,16.03,16.51,0.01583099365234375,0.03161263465881348,1.0023415088653564,0.015869617462158203,0.018778324127197266,0
41,3,1,18.94,18.94,18.94,18.94,18.94,0.0,0.0,0.9921655654907227,0.015789508819580078,0.01576828956604004,0
42,49,4,58.73,53.72,53.1,73.03,64.66,0.23004651069641113,0.8201234340667725,1.0121588706970215,0.06310009956359863,0.05412578582763672,0
43,35,3,55.9,45.47,43.69,59.12,58.78,0.05796098709106445,0.8085696697235107,0.996100902557373,0.05467844009399414,0.036542654037475586,0
44,6,1,18.31,18.31,18.31,22.83,22.54,0.0,0.015841960906982422,1.0018718242645264,0.01591777801513672,0.008860588073730469,0
45,42,3,71.53,60.38,53.96,74.24,61.6,0.07641267776489258,0.8377723693847656,0.9997620582580566,0.06659364700317383,0.04770350456237793,0
46,31,3,33.6,31.96,31.5,36.8,36.22,0.12298130989074707,0.8284640312194824,1.0002679824829102,0.05473518371582031,0.018082857131958008,0
47,23,2,42.76,36.72,35.3,40.88,46.83,0.03352165222167969,0.7287201881408691,1.0009174346923828,0.03644895553588867,0.031584739685058594,0
48,31,3,59.11,53.3,53.77,62.52,63.12,0.10157990455627441,0.8459675312042236,1.0023431777954102,0.04739046096801758,0.045085906982421875,0
49,3,1,11.93,11.93,11.93,11.93,11.93,0.017269372940063477,0.0,0.9877874851226807,0.015769481658935547,0.015800952911376953,0
50,5,1,9.69,9.69,9.69,12.51,13.37,0.0,0.0,0.9970805644989014,0.01580357551574707,0.01576995849609375,0
