depot_id,customers,vehicles,hq_dist_km,turing_dist_km,exact_dist_km,qpso_dist_km,ga_dist_km,hq_time_s,turing_time_s,exact_time_s,qpso_time_s,ga_time_s,violations
47,2,1,6.93,6.93,6.93,6.93,6.93,0.0,0.0,1.0018975734710693,0.01497030258178711,0.0,0
48,2,1,3.19,3.19,3.19,3.19,3.19,0.0,0.0,0.9998128414154053,0.02051687240600586,0.0020089149475097656,0
49,9,1,17.59,17.62,17.59,17.9,17.89,0.04984879493713379,0.002546072006225586,0.996389627456665,0.018815994262695312,0.006033182144165039,0
50,66,5,53.61,64.38,54.9,66.63,67.8,0.7035214900970459,0.1441192626953125,1.0018932819366455,0.04983258247375488,0.05017662048339844,0
51,8,1,16.33,14.63,14.63,17.71,18.04,0.019748687744140625,0.0,0.9990506172180176,0.015805959701538086,0.0,0
53,31,3,46.14,50.81,44.42,66.09,49.64,0.5046494007110596,0.06345891952514648,0.9988622665405273,0.03173255920410156,0.018237590789794922,0
54,35,3,33.34,45.63,32.25,44.98,37.74,0.5171864032745361,0.08094286918640137,1.0020618438720703,0.015874147415161133,0.015730857849121094,0
55,22,2,23.68,25.67,23.68,26.47,27.11,0.5100347995758057,0.04016232490539551,0.9959046840667725,0.015833377838134766,0.015856504440307617,0
56,24,2,27.05,29.55,26.72,37.74,37.9,0.5007650852203369,0.06658554077148438,0.9998033046722412,0.01592707633972168,0.01743793487548828,0
57,6,1,8.75,8.75,8.75,8.75,8.97,0.01578378677368164,0.0,0.9995732307434082,0.015847206115722656,0.0,0
58,27,3,33.36,35.77,29.0,36.05,32.38,0.5163559913635254,0.03214764595031738,0.9944641590118408,0.031678199768066406,0.008974552154541016,0
59,12,1,18.89,19.08,18.89,28.12,25.82,0.06944489479064941,0.0,1.0165514945983887,0.0,0.016024112701416016,0
60,3,1,6.18,6.21,6.18,6.21,6.21,0.0032875537872314453,0.0,0.9997940063476562,0.00758814811706543,0.008881807327270508,0
61,2,1,6.14,6.14,6.14,6.14,6.14,0.0,0.0,1.0119881629943848,0.0017535686492919922,0.0,0
62,11,1,19.06,21.78,19.06,19.16,20.8,0.04931950569152832,0.002971172332763672,0.9988195896148682,0.018397808074951172,0.0,0
63,23,2,31.66,35.82,31.66,40.87,35.45,0.5020415782928467,0.031694889068603516,1.0049467086791992,0.017690658569335938,0.01104736328125,0
64,39,3,52.92,58.88,52.14,69.26,60.99,0.5075147151947021,0.142425537109375,0.9931623935699463,0.04052853584289551,0.016753435134887695,0
65,33,3,43.6,66.02,38.68,53.66,54.1,0.5187742710113525,0.04893326759338379,0.9929680824279785,0.03153848648071289,0.0263674259185791,0
66,20,2,10.95,15.95,10.95,13.53,12.81,0.3194611072540283,0.02179431915283203,0.9955871105194092,0.015896320343017578,0.016093730926513672,0
67,13,1,17.59,17.85,17.59,17.67,17.67,0.06903982162475586,0.021739959716796875,1.0015697479248047,0.008471965789794922,0.01003575325012207,0
68,17,2,26.29,29.62,26.29,29.55,34.1,0.40381312370300293,0.03334450721740723,0.9981570243835449,0.01891779899597168,0.0,0
69,10,1,12.47,12.47,12.47,15.15,15.94,0.04881024360656738,0.0,1.0009088516235352,0.02711963653564453,0.005772829055786133,0
70,31,3,33.04,40.79,33.04,37.43,42.77,0.5378077030181885,0.024901390075683594,1.0034937858581543,0.03169894218444824,0.01909160614013672,0
71,7,1,21.29,22.75,18.46,20.54,18.46,0.01729130744934082,0.0,1.0127601623535156,0.003488302230834961,0.0,0
72,36,3,37.19,45.72,34.02,44.53,45.35,0.5156757831573486,0.038445234298706055,1.012279748916626,0.03375649452209473,0.021893024444580078,0
73,7,1,9.21,9.24,9.21,9.21,9.21,0.011050939559936523,0.0,1.011427879333496,0.00661468505859375,0.0,0
74,15,2,18.07,19.76,17.64,24.97,21.1,0.1173405647277832,0.0,1.0161585807800293,0.017641544342041016,0.0,0
75,49,4,41.63,51.3,36.86,55.42,49.15,0.5022251605987549,0.10088443756103516,0.998957633972168,0.046669960021972656,0.031763553619384766,0
77,7,1,10.14,10.14,10.14,15.88,14.8,0.015868186950683594,0.0,0.9976077079772949,0.014631509780883789,0.00200653076171875,0
78,38,3,41.36,46.47,39.85,54.71,52.3,0.5434160232543945,0.09467887878417969,1.0001599788665771,0.032569169998168945,0.015923738479614258,0
79,15,1,40.49,42.55,38.0,53.82,48.57,0.03661656379699707,0.01578664779663086,0.9949607849121094,0.015863418579101562,0.03443717956542969,0
80,19,2,21.95,23.7,21.95,28.92,32.13,0.5116150379180908,0.04085183143615723,1.0009186267852783,0.011038780212402344,0.017699480056762695,0
81,34,3,34.45,46.77,34.41,43.92,44.63,0.5402870178222656,0.08457303047180176,1.0085504055023193,0.03674149513244629,0.01868891716003418,0
82,31,3,22.64,29.89,22.1,28.56,30.01,0.5203242301940918,0.04015922546386719,1.008026123046875,0.031775712966918945,0.011534452438354492,0
83,17,2,17.65,20.01,17.03,25.45,24.26,0.3370044231414795,0.03079700469970703,1.0004894733428955,0.016132354736328125,0.0,0
84,8,1,9.73,10.68,9.73,17.35,14.84,0.017674684524536133,0.015259981155395508,0.998476505279541,0.0,0.015793323516845703,0
85,2,1,2.76,2.76,2.76,2.76,2.76,0.0,0.0,1.002065658569336,0.019252777099609375,0.00401759147644043,0
86,13,1,19.06,23.61,19.06,19.22,19.22,0.05701613426208496,0.014524221420288086,1.0003273487091064,0.012025117874145508,0.0037703514099121094,0
87,2,1,17.6,17.6,17.6,17.6,17.6,0.002009868621826172,0.0,0.9944987297058105,0.0,0.01580333709716797,0
88,1,1,4.6,4.6,4.6,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0
89,28,3,29.48,41.09,27.93,32.04,35.66,0.5014140605926514,0.04743385314941406,1.002432107925415,0.018965959548950195,0.01583719253540039,0
90,6,1,9.19,9.19,9.19,9.49,9.51,0.0,0.0,1.0155510902404785,0.001773834228515625,0.0,0
91,10,1,23.15,26.75,23.15,28.06,26.85,0.031656503677368164,0.0,0.9989078044891357,0.016048431396484375,0.0,0
92,4,1,3.16,3.16,3.16,3.16,3.16,0.0,0.0,1.000746726989746,0.016021251678466797,0.0,0
94,8,1,11.63,11.63,11.63,11.63,11.63,0.015783071517944336,0.0,1.0112650394439697,0.0,0.0,0
95,3,1,4.12,4.12,4.12,4.12,4.12,0.0,0.0,1.0005738735198975,0.0,0.0,0
96,22,2,22.29,25.41,22.29,23.78,24.82,0.5053884983062744,0.02962207794189453,0.9971680641174316,0.06349825859069824,0.04797768592834473,0
97,1,1,8.38,8.38,8.38,8.38,8.38,0.0,0.015971899032592773,0.0,0.0,0.0,0
98,2,1,3.98,3.98,3.98,3.98,3.98,0.0,0.0,1.0170071125030518,0.019933700561523438,0.016086816787719727,0
99,6,1,8.74,8.74,8.74,8.74,11.68,0.031870126724243164,0.006023406982421875,0.9984838962554932,0.016247034072875977,0.016645431518554688,0
100,30,3,34.45,41.69,35.27,44.26,39.9,0.6353271007537842,0.13448309898376465,1.0033414363861084,0.05085325241088867,0.044523000717163086,0
