generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
20,-14073.451848811997,-18333.17165745501,110392.09429682457,14073.451848811997,0,87,13,80,16.194736842105264
21,-14073.451848811997,-17678.83390413004,110392.09429682457,14073.451848811997,0,89,11,82,13.205263157894738
22,-13928.887794841685,-15662.902191188181,109221.48571556699,13928.887794841685,0,92,8,72,10.689473684210526
23,-13928.887794841685,-16488.21796014412,109221.48571556699,13928.887794841685,0,88,12,66,5.7
24,-13699.654177317509,-16649.502523178748,106795.69651930186,13699.654177317509,0,92,8,65,12.56842105263158
25,-13699.654177317509,-15740.602023555919,106795.69651930186,13699.654177317509,0,93,7,66,7.536842105263158
26,-13699.654177317509,-15769.587707572859,106795.69651930186,13699.654177317509,0,95,5,65,11.594736842105263
27,-13527.25839208615,-15436.78360629402,105250.99689289322,13527.25839208615,0,93,7,57,10.957894736842105
28,-13386.59423483806,-16307.061673720877,104126.4624432679,13386.59423483806,0,91,9,70,16.278947368421054
29,-13386.59423483806,-16532.752270648874,104126.4624432679,13386.59423483806,0,92,8,74,16.105263157894736
30,-13363.566140056533,-15291.847848779778,104043.60786276823,13363.566140056533,0,96,4,73,17.805263157894736
31,-13286.732484228683,-17702.41964131954,103215.868876856,13286.732484228683,0,91,9,80,15.763157894736842
32,-13286.732484228683,-14721.826593526224,103215.868876856,13286.732484228683,0,95,5,69,12.294736842105262
33,-13275.086709694198,-15279.674636105106,103677.63033361145,13275.086709694198,0,94,6,75,12.81578947368421
34,-13169.672576685523,-16090.432200424291,101999.30289425666,13169.672576685523,0,92,8,75,12.489473684210527
35,-13169.672576685523,-15895.43433737439,101999.30289425666,13169.672576685523,0,88,12,60,11.863157894736842
36,-13169.672576685523,-14816.604767436329,101999.30289425666,13169.672576685523,0,94,6,54,6.38421052631579
37,-12748.359395749592,-14233.307329218404,98873.31613881708,12748.359395749592,0,95,5,48,11.110526315789473
38,-12748.359395749592,-15507.96454222701,98873.31613881708,12748.359395749592,0,93,7,50,8.23157894736842
39,-12748.359395749592,-15058.808735696026,98873.31613881708,12748.359395749592,0,95,5,57,14.263157894736842
40,-12748.359395749592,-15155.140117147606,98873.31613881708,12748.359395749592,0,95,5,52,9.784210526315789
41,-12748.359395749592,-13649.623758766427,98873.31613881708,12748.359395749592,0,96,4,48,8.31578947368421
42,-12512.768256785455,-15486.573868739104,96497.4400740318,12512.768256785455,0,91,9,46,7.1421052631578945
43,-12512.768256785455,-14424.979584352985,96497.4400740318,12512.768256785455,0,95,5,45,4.563157894736842
44,-12512.768256785455,-15025.39955531979,96497.4400740318,12512.768256785455,0,92,8,43,14.131578947368421
45,-12512.768256785455,-14494.093056826903,96497.4400740318,12512.768256785455,0,93,7,41,4.721052631578948
46,-12376.47481470197,-15889.395203606884,95877.35239763965,12376.47481470197,0,91,9,48,10.615789473684211
47,-12376.47481470197,-15060.487100987102,95877.35239763965,12376.47481470197,0,90,10,57,9.626315789473685
48,-12376.47481470197,-14569.219504092347,95877.35239763965,12376.47481470197,0,90,10,61,9.905263157894737
49,-12373.727258859322,-14819.131908523686,95192.72205134004,12373.727258859322,0,94,6,62,8.031578947368422
50,-12173.287525181735,-14609.63339493648,93872.60410403102,12173.287525181735,0,92,8,72,9.773684210526316
51,-11920.352364507722,-15468.883748088709,92329.82486216162,11920.352364507722,0,88,12,75,19.210526315789473
52,-11920.352364507722,-16819.924676487422,92329.82486216162,11920.352364507722,0,88,12,83,12.936842105263159
53,-11920.352364507722,-14487.510082156541,92329.82486216162,11920.352364507722,0,91,9,78,14.952631578947368
54,-11920.352364507722,-15603.639526257452,92329.82486216162,11920.352364507722,0,89,11,73,18.231578947368423
55,-11733.497662613774,-15371.889546910816,91348.40850357235,11733.497662613774,0,91,9,74,18.01578947368421
56,-11733.497662613774,-13196.276145217538,91348.40850357235,11733.497662613774,0,93,7,63,11.310526315789474
57,-11733.497662613774,-14735.920689494764,91348.40850357235,11733.497662613774,0,94,6,62,11.636842105263158
58,-11733.497662613774,-12415.771931492047,91348.40850357235,11733.497662613774,0,99,1,56,7.705263157894737
59,-11553.677160638783,-14274.296056440076,90092.50502397718,11553.677160638783,0,95,5,44,5.5473684210526315
60,-11553.677160638783,-14734.195627409626,90092.50502397718,11553.677160638783,0,92,8,38,10.178947368421053
61,-11553.677160638783,-12736.515335281294,90092.50502397718,11553.677160638783,0,96,4,31,5.942105263157894
62,-11553.677160638783,-12166.185978679494,90092.50502397718,11553.677160638783,0,98,2,20,1.5894736842105264
63,-11553.677160638783,-15301.26718817144,90092.50502397718,11553.677160638783,0,93,7,33,11.047368421052632
64,-11553.677160638783,-12120.04146874696,90092.50502397718,11553.677160638783,0,99,1,32,6.010526315789473
65,-11547.858029083909,-13897.209573913231,90051.9390674833,11547.858029083909,0,95,5,52,8.621052631578948
66,-11525.598028623941,-12507.588874989777,90105.0966547698,11525.598028623941,0,98,2,49,8.242105263157894
67,-11525.598028623941,-12855.239949731338,90105.0966547698,11525.598028623941,0,97,3,51,9.51578947368421
68,-11525.598028623941,-12542.0417995755,90105.0966547698,11525.598028623941,0,98,2,50,10.389473684210527
69,-11525.598028623941,-13073.663146586932,90105.0966547698,11525.598028623941,0,95,5,31,9.042105263157895
