generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
212,-74840.58191204548,-89752.19199752295,198074.94269657042,19840.58191204549,11,0,100,31,7.073684210526316
213,-74840.58191204548,-90543.07371153272,198074.94269657042,19840.58191204549,11,0,100,41,9.278947368421052
214,-74840.58191204548,-91310.55739395235,198074.94269657042,19840.58191204549,11,0,100,42,6.447368421052632
215,-74764.67882544218,-88666.47512922046,197239.4945744762,19764.678825442177,11,0,100,35,10.452631578947368
216,-74764.67882544218,-92928.06886062726,197239.4945744762,19764.678825442177,11,0,100,32,6.457894736842105
217,-74764.67882544218,-87527.33665303534,197239.4945744762,19764.678825442177,11,0,100,29,9.226315789473684
218,-74661.65035721051,-94773.80229597233,197262.94014557643,19661.650357210514,11,0,100,30,5.863157894736842
219,-74661.65035721051,-85837.85094507826,197262.94014557643,19661.650357210514,11,0,100,43,10.405263157894737
220,-74661.65035721051,-93550.98452059731,197262.94014557643,19661.650357210514,11,0,100,45,10.873684210526315
221,-74661.65035721051,-88509.03246212192,197262.94014557643,19661.650357210514,11,0,100,35,7.531578947368421
222,-74661.65035721051,-88085.78547675902,197262.94014557643,19661.650357210514,11,0,100,34,9.3
223,-74661.65035721051,-90973.82655723464,197262.94014557643,19661.650357210514,11,0,100,38,6.910526315789474
224,-74661.65035721051,-91037.81740625169,197262.94014557643,19661.650357210514,11,0,100,35,4.936842105263158
225,-74661.65035721051,-90967.21473119769,197262.94014557643,19661.650357210514,11,0,100,38,5.221052631578948
226,-74661.65035721051,-87877.30808917884,197262.94014557643,19661.650357210514,11,0,100,33,4.405263157894737
227,-74661.65035721051,-90900.43452028147,197262.94014557643,19661.650357210514,11,0,100,33,5.205263157894737
228,-74661.65035721051,-82280.06357601171,197262.94014557643,19661.650357210514,11,0,100,27,3.263157894736842
229,-74661.65035721051,-90272.95418645316,197262.94014557643,19661.650357210514,11,0,100,32,13.273684210526316
230,-74661.65035721051,-85691.85991136124,197262.94014557643,19661.650357210514,11,0,100,32,3.705263157894737
231,-74661.65035721051,-86995.6150247626,197262.94014557643,19661.650357210514,11,0,100,26,2.1473684210526316
232,-74661.65035721051,-88879.27574518854,197262.94014557643,19661.650357210514,11,0,100,29,6.536842105263158
233,-74661.65035721051,-86247.50541379403,197262.94014557643,19661.650357210514,11,0,100,24,5.947368421052632
234,-74661.65035721051,-95895.32524559334,197262.94014557643,19661.650357210514,11,0,100,34,2.194736842105263
235,-74661.65035721051,-84445.54651304694,197262.94014557643,19661.650357210514,11,0,100,33,2.857894736842105
236,-74661.65035721051,-87479.37371632844,197262.94014557643,19661.650357210514,11,0,100,28,14.036842105263158
237,-74661.65035721051,-92116.08485553921,197262.94014557643,19661.650357210514,11,0,100,36,5.436842105263158
238,-74661.65035721051,-82054.31572614945,197262.94014557643,19661.650357210514,11,0,100,35,0.7947368421052632
239,-74661.65035721051,-89955.21535211297,197262.94014557643,19661.650357210514,11,0,100,37,7.6947368421052635
240,-74661.65035721051,-87341.49790176893,197262.94014557643,19661.650357210514,11,0,100,31,11.926315789473684
241,-74661.65035721051,-85814.12505487341,197262.94014557643,19661.650357210514,11,0,100,28,3.3947368421052633
242,-74661.65035721051,-92441.17755488209,197262.94014557643,19661.650357210514,11,0,100,32,5.552631578947368
243,-74661.65035721051,-86874.29648466896,197262.94014557643,19661.650357210514,11,0,100,26,1.2
244,-74661.65035721051,-89120.69048466213,197262.94014557643,19661.650357210514,11,0,100,32,5.684210526315789
245,-74661.65035721051,-86930.93583509821,197262.94014557643,19661.650357210514,11,0,100,36,6.426315789473684
246,-74661.65035721051,-93184.71758475494,197262.94014557643,19661.650357210514,11,0,100,38,4.389473684210526
247,-74661.65035721051,-91539.96982834903,197262.94014557643,19661.650357210514,11,0,100,36,2.163157894736842
248,-74661.65035721051,-96783.34339201996,197262.94014557643,19661.650357210514,11,0,100,38,10.678947368421053
249,-74661.65035721051,-97817.95837804138,197262.94014557643,19661.650357210514,11,0,100,36,11.01578947368421
250,-74661.65035721051,-92867.98179597905,197262.94014557643,19661.650357210514,11,0,100,31,5.031578947368421
251,-74661.65035721051,-88378.34854811049,197262.94014557643,19661.650357210514,11,0,100,31,5.08421052631579
252,-74661.65035721051,-88861.29836676875,197262.94014557643,19661.650357210514,11,0,100,34,5.7105263157894735
253,-74661.65035721051,-88043.93950931095,197262.94014557643,19661.650357210514,11,0,100,30,10.542105263157895
254,-74661.65035721051,-81547.36121564216,197262.94014557643,19661.650357210514,11,0,100,23,1.0
255,-74661.65035721051,-86758.42324300588,197262.94014557643,19661.650357210514,11,0,100,33,5.405263157894737
256,-74661.65035721051,-86199.34074091092,197262.94014557643,19661.650357210514,11,0,100,33,10.663157894736843
257,-74657.84914570724,-93099.50874770872,197241.8223038916,19657.849145707238,11,0,100,34,5.2
258,-74657.84914570724,-85598.51922696957,197241.8223038916,19657.849145707238,11,0,100,27,4.321052631578947
259,-74657.84914570724,-87162.77793565944,197241.8223038916,19657.849145707238,11,0,100,29,0.7947368421052632
260,-74657.84914570724,-87937.636827376,197241.8223038916,19657.849145707238,11,0,100,31,7.7
261,-74657.84914570724,-86999.36589232448,197241.8223038916,19657.849145707238,11,0,100,29,3.294736842105263
262,-74657.84914570724,-91117.04360259688,197241.8223038916,19657.849145707238,11,0,100,37,9.778947368421052
263,-74657.84914570724,-87444.4941825031,197241.8223038916,19657.849145707238,11,0,100,28,4.71578947368421
264,-74657.84914570724,-84828.98970319837,197241.8223038916,19657.849145707238,11,0,100,24,3.5052631578947366
265,-74657.84914570724,-89851.54341751916,197241.8223038916,19657.849145707238,11,0,100,36,5.826315789473684
266,-74657.84914570724,-81769.98671624178,197241.8223038916,19657.849145707238,11,0,100,26,3.4894736842105263
267,-74657.84914570724,-91785.54327791622,197241.8223038916,19657.849145707238,11,0,100,27,6.4526315789473685
268,-74657.84914570724,-83949.35792131221,197241.8223038916,19657.849145707238,11,0,100,28,2.973684210526316
269,-74657.84914570724,-81158.1712970929,197241.8223038916,19657.849145707238,11,0,100,26,1.868421052631579
270,-74657.84914570724,-86901.1912154287,197241.8223038916,19657.849145707238,11,0,100,24,3.789473684210526
271,-74657.84914570724,-86282.5836983316,197241.8223038916,19657.849145707238,11,0,100,32,5.810526315789474
272,-74657.84914570724,-89865.76195510219,197241.8223038916,19657.849145707238,11,0,100,34,7.489473684210527
273,-74657.84914570724,-98295.50565486064,197241.8223038916,19657.849145707238,11,0,100,31,8.357894736842105
274,-74371.92147615629,-84674.75632253269,195355.39130141836,19371.92147615629,11,0,100,31,1.894736842105263
275,-74371.92147615629,-86726.58610361494,195355.39130141836,19371.92147615629,11,0,100,35,9.1
276,-74371.92147615629,-96366.44781303314,195355.39130141836,19371.92147615629,11,0,100,42,5.342105263157895
277,-74371.92147615629,-93817.3140004852,195355.39130141836,19371.92147615629,11,0,100,36,8.378947368421052
278,-74371.92147615629,-92109.8198866502,195355.39130141836,19371.92147615629,11,0,100,46,9.18421052631579
279,-74371.92147615629,-98311.09881504493,195355.39130141836,19371.92147615629,11,0,100,39,10.547368421052632
280,-74371.92147615629,-88161.52843722454,195355.39130141836,19371.92147615629,11,0,100,47,9.536842105263158
281,-74371.92147615629,-90555.40327434085,195355.39130141836,19371.92147615629,11,0,100,33,7.2
282,-74371.92147615629,-87781.82799759164,195355.39130141836,19371.92147615629,11,0,100,37,6.563157894736842
283,-74371.92147615629,-94458.88974146114,195355.39130141836,19371.92147615629,11,0,100,29,10.936842105263159
284,-74371.92147615629,-91174.16275866622,195355.39130141836,19371.92147615629,11,0,100,32,6.821052631578947
285,-74371.92147615629,-90469.43692621513,195355.39130141836,19371.92147615629,11,0,100,28,5.984210526315789
286,-74371.92147615629,-89032.6350985712,195355.39130141836,19371.92147615629,11,0,100,30,5.110526315789474
287,-74371.92147615629,-90987.06417725726,195355.39130141836,19371.92147615629,11,0,100,41,6.410526315789474
288,-74367.50195995028,-90040.16234288839,195330.8384336072,19367.501959950278,11,0,100,31,7.821052631578947
289,-74367.50195995028,-91283.8526379711,195330.8384336072,19367.501959950278,11,0,100,29,13.305263157894737
290,-74367.50195995028,-82865.6723869521,195330.8384336072,19367.501959950278,11,0,100,32,3.831578947368421
291,-74367.50195995028,-89700.21984015824,195330.8384336072,19367.501959950278,11,0,100,34,2.536842105263158
292,-74367.50195995028,-85460.07515579932,195330.8384336072,19367.501959950278,11,0,100,33,7.1
293,-74278.48135773669,-87302.73200768331,195117.71606652834,19278.481357736688,11,0,100,29,12.489473684210527
294,-74278.48135773669,-88080.68755461974,195117.71606652834,19278.481357736688,11,0,100,38,3.6
295,-74274.06184153067,-80411.14361004188,195093.16319871717,19274.061841530674,11,0,100,31,4.352631578947369
296,-74274.06184153067,-90603.77786291343,195093.16319871717,19274.061841530674,11,0,100,39,14.347368421052632
297,-74274.06184153067,-88791.24220533475,195093.16319871717,19274.061841530674,11,0,100,40,13.278947368421052
298,-74274.06184153067,-93270.2213758795,195093.16319871717,19274.061841530674,11,0,100,40,6.2368421052631575
299,-74274.06184153067,-87946.51753325241,195093.16319871717,19274.061841530674,11,0,100,40,8.652631578947368
300,-74274.06184153067,-88257.52766754334,195093.16319871717,19274.061841530674,11,0,100,33,4.252631578947368
301,-74274.06184153067,-92887.43789606243,195093.16319871717,19274.061841530674,11,0,100,33,1.9684210526315788
302,-74274.06184153067,-96178.60239826141,195093.16319871717,19274.061841530674,11,0,100,37,9.147368421052631
303,-74274.06184153067,-90244.95313338324,195093.16319871717,19274.061841530674,11,0,100,28,12.91578947368421
304,-74258.73675204639,-85312.25225985356,195961.1614199055,19258.736752046396,11,0,100,30,5.647368421052631
305,-74258.73675204639,-95311.55279300404,195961.1614199055,19258.736752046396,11,0,100,39,7.015789473684211
306,-74258.73675204639,-86671.16606354463,195961.1614199055,19258.736752046396,11,0,100,34,5.842105263157895
307,-74258.73675204639,-86747.98031248918,195961.1614199055,19258.736752046396,11,0,100,35,3.4894736842105263
308,-74258.73675204639,-107999.87076366493,195961.1614199055,19258.736752046396,11,0,100,45,14.321052631578947
309,-74258.73675204639,-102094.4830433955,195961.1614199055,19258.736752046396,11,0,100,47,11.463157894736842
310,-74258.73675204639,-95962.40648821097,195961.1614199055,19258.736752046396,11,0,100,52,11.205263157894738
311,-74258.73675204639,-95832.22621359794,195961.1614199055,19258.736752046396,11,0,100,48,9.805263157894737
312,-74258.73675204639,-93429.11325546257,195961.1614199055,19258.736752046396,11,0,100,34,3.3526315789473684
313,-74258.73675204639,-92400.54341746376,195961.1614199055,19258.736752046396,11,0,100,29,8.421052631578947
314,-74258.73675204639,-93751.73685156203,195961.1614199055,19258.736752046396,11,0,100,33,12.689473684210526
315,-74258.73675204639,-91620.22505486768,195961.1614199055,19258.736752046396,11,0,100,25,1.4
316,-74122.52014547503,-96987.81349038519,194517.73199474218,19122.52014547503,11,0,100,31,0.6
317,-74122.52014547503,-88804.89056610627,194517.73199474218,19122.52014547503,11,0,100,27,8.01578947368421
318,-74122.52014547503,-93865.06848388058,194517.73199474218,19122.52014547503,11,0,100,34,10.026315789473685
319,-74122.52014547503,-89369.13515892171,194517.73199474218,19122.52014547503,11,0,100,37,6.878947368421053
320,-74122.52014547503,-93966.10278219092,194517.73199474218,19122.52014547503,11,0,100,33,9.673684210526316
321,-74122.52014547503,-96037.91382748507,194517.73199474218,19122.52014547503,11,0,100,35,8.647368421052631
322,-74122.52014547503,-90825.49598499044,194517.73199474218,19122.52014547503,11,0,100,43,7.173684210526316
323,-74122.52014547503,-96279.48735842295,194517.73199474218,19122.52014547503,11,0,100,41,8.8
324,-74122.52014547503,-85428.99038966704,194517.73199474218,19122.52014547503,11,0,100,26,4.936842105263158
325,-74122.52014547503,-87490.10242213056,194517.73199474218,19122.52014547503,11,0,100,26,5.531578947368421
326,-74122.52014547503,-80775.69232740276,194517.73199474218,19122.52014547503,11,0,100,23,0.2
327,-74122.52014547503,-94380.42626535482,194517.73199474218,19122.52014547503,11,0,100,33,6.578947368421052
328,-74122.52014547503,-91711.12407486475,194517.73199474218,19122.52014547503,11,0,100,29,9.963157894736842
329,-74122.52014547503,-84976.70528002988,194517.73199474218,19122.52014547503,11,0,100,23,4.705263157894737
330,-74122.52014547503,-93003.26573497787,194517.73199474218,19122.52014547503,11,0,100,26,4.494736842105263
331,-74122.52014547503,-85791.50189449107,194517.73199474218,19122.52014547503,11,0,100,22,4.957894736842105
332,-74122.52014547503,-88314.67338076442,194517.73199474218,19122.52014547503,11,0,100,31,2.557894736842105
333,-74122.52014547503,-85346.70871298506,194517.73199474218,19122.52014547503,11,0,100,29,4.052631578947368
334,-74122.52014547503,-91397.34745723655,194517.73199474218,19122.52014547503,11,0,100,22,6.2894736842105265
335,-74122.52014547503,-88793.57676578932,194517.73199474218,19122.52014547503,11,0,100,26,5.131578947368421
336,-74122.52014547503,-90457.10032760649,194517.73199474218,19122.52014547503,11,0,100,27,3.9842105263157896
